"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"F","SB11202040113093","No","ANTIOQUIA",5,"Estrato 3","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL","N","MAÑANA",48,45,54,35,45,227
"F","SB11202040167355","No","CORDOBA",23,"Estrato 1","Educación profesional completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",51,46,42,46,41,229
"F","SB11202040241807","Si","LA GUAJIRA",44,"Sin Estrato","No sabe","No sabe","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","No leo por entretenimiento","30 minutos o menos","Menos de 10 horas","OFICIAL",NA,"MAÑANA",30,42,40,39,34,187
"M","SB11202040489671","No","CORDOBA",23,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Es agricultor, pesquero o jornalero","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",38,46,44,42,41,212
"F","SB11202040042182","No","SANTANDER",68,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es operario de máquinas o conduce vehículos (taxita, chofer)","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",66,67,66,55,47,311
"M","SB11202040176631","No","BOGOTÁ",11,"Estrato 3","Educación profesional incompleta","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","MÁS DE 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",60,65,70,63,75,327
"F","SB11202040285631","No","VALLE",76,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Es operario de máquinas o conduce vehículos (taxita, chofer)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",55,54,50,56,53,268
"F","SB11202040075383","No","CUNDINAMARCA",25,"Estrato 3","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",60,56,41,41,50,248
"M","SB11202040158403","No","CHOCO",27,"Sin Estrato","Primaria completa","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Entre 21 y 30 horas","OFICIAL",NA,"UNICA",31,28,33,21,35,144
"M","SB11202040422677","No","ATLANTICO",8,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","No Navega Internet","Menos de 10 horas","OFICIAL","N","TARDE",61,52,48,53,40,262
"F","SB11202040176186","No","MAGDALENA",47,"Estrato 2","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL",NA,"MAÑANA",52,53,61,66,65,293
"F","SB11202040010115","Si","NARIÑO",52,"Estrato 1","Educación profesional completa","Ninguno","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",44,42,39,30,46,197
"F","SB11202040372442","No","BOGOTÁ",11,"Estrato 4","Postgrado","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",72,62,67,71,81,345
"M","SB11202040488704","No","CAUCA",19,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","No sabe","No sabe","26 A 100 LIBROS","Más de 2 horas","30 minutos o menos","0","OFICIAL","N","UNICA",55,61,57,58,42,283
"F","SB11202040063321","No","BOGOTÁ",11,"Estrato 2","Primaria incompleta","Técnica o tecnológica completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL",NA,"MAÑANA",54,50,44,53,39,247
"M","SB11202040315580","No","CORDOBA",23,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","0","OFICIAL","N","UNICA",49,54,53,52,55,261
"M","SB11202040243588","No","ANTIOQUIA",5,"Estrato 3","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL","N","COMPLETA",62,75,72,70,71,349
"M","SB11202040510725","No","CESAR",20,"Estrato 2","Primaria incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","0 A 10 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","TARDE",42,49,50,49,39,234
"F","SB11202040203525","No","BOLIVAR",13,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",41,38,42,32,33,189
"F","SB11202040292127","Si","VALLE",76,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","Más de 30 horas","NO OFICIAL","N","MAÑANA",58,57,50,59,45,276
"M","SB11202040510443","No","BOLIVAR",13,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","MAÑANA",58,57,41,36,51,241
"F","SB11202040269506","No","BOGOTÁ",11,"Estrato 3","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",51,51,56,45,52,254
"M","SB11202040297692","No","MAGDALENA",47,"Estrato 4","Educación profesional completa","Postgrado","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",60,71,70,60,64,326
"M","SB11202040282059","No","CUNDINAMARCA",25,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",62,62,58,55,47,292
"F","SB11202040128679","Si","VALLE",76,"Estrato 1","Educación profesional incompleta","Educación profesional completa","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","MAÑANA",60,68,60,64,52,311
"M","SB11202040524076","No","ATLANTICO",8,"Estrato 1","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",50,62,58,56,50,280
"M","SB11202040559121","Si","NARIÑO",52,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","Más de 2 horas","30 minutos o menos","Menos de 10 horas","NO OFICIAL",NA,"SABATINA",45,49,27,37,29,193
"F","SB11202040252843","No","BOGOTÁ",11,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",46,49,43,52,41,235
"F","SB11202040522500","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",73,59,56,69,47,315
"F","SB11202040364569","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Primaria completa","Es agricultor, pesquero o jornalero","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","No leo por entretenimiento","No Navega Internet","0","OFICIAL","N","MAÑANA",42,39,46,35,41,203
"M","SB11202040141443","No","QUINDIO",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL",NA,"UNICA",61,62,65,66,65,318
"F","SB11202040218244","No","CUNDINAMARCA",25,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) completa","Pensionado","Es vendedor o trabaja en atención al público","MÁS DE 100 LIBROS","No leo por entretenimiento","30 minutos o menos","0","NO OFICIAL","N","COMPLETA",34,43,43,30,48,192
"M","SB11202040571614","No","VALLE",76,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","SABATINA",34,45,37,39,33,192
"F","SB11202040153774","No","CUNDINAMARCA",25,"Estrato 2","No sabe","Secundaria (Bachillerato) incompleta","No sabe","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",58,42,46,47,50,242
"M","SB11202040447079","No","CAUCA",19,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","No Navega Internet","Menos de 10 horas","OFICIAL",NA,"SABATINA",43,37,32,35,37,184
"M","SB11202040251770","No","CASANARE",85,"Estrato 1","Primaria completa","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","No Navega Internet","Entre 11 y 20 horas","OFICIAL","N","UNICA",43,50,39,41,32,212
"F","SB11202040345732","No","CAUCA",19,"Estrato 2","Primaria incompleta","Técnica o tecnológica incompleta","Pensionado","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",63,39,46,49,38,242
"F","SB11202040183626","No","BOYACA",15,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",43,52,40,42,38,219
"F","SB11202040215539","No","BOYACA",15,"Estrato 2","Educación profesional incompleta","Secundaria (Bachillerato) incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","COMPLETA",47,46,37,37,31,205
"M","SB11202040134839","No","BOGOTÁ",11,"Estrato 3","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","TARDE",59,65,62,63,62,311
"F","SB11202040178277","No","CUNDINAMARCA",25,"Estrato 3","Secundaria (Bachillerato) incompleta","Primaria incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",47,45,44,42,33,218
"M","SB11202040362193","No","BOGOTÁ",11,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL",NA,"UNICA",55,59,47,61,44,273
"M","SB11202040279579","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Técnica o tecnológica completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","0","OFICIAL","N","MAÑANA",51,39,33,43,31,203
"F","SB11202040058844","No","CASANARE",85,"Estrato 3","No sabe","Secundaria (Bachillerato) incompleta","No sabe","No sabe","MÁS DE 100 LIBROS","Más de 2 horas","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",73,54,58,55,63,301
"F","SB11202040307830","No","ANTIOQUIA",5,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","NOCHE",36,35,43,32,43,185
"M","SB11202040097471","No","SANTANDER",68,"Estrato 5","Postgrado","Postgrado","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Pensionado","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",53,52,38,41,46,230
"F","SB11202040060428","No","BOGOTÁ",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","UNICA",75,53,55,40,51,277
"F","SB11202040274688","No","ATLANTICO",8,"Estrato 3","Educación profesional completa","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",41,43,36,35,47,197
"M","SB11202040430551","Si","ANTIOQUIA",5,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","No leo por entretenimiento","No Navega Internet","0","NO OFICIAL","N","NOCHE",38,35,39,39,0,174
"M","SB11202040263104","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","COMPLETA",65,66,59,53,43,297
"M","SB11202040031702","No","BOGOTÁ",11,"Estrato 3","Técnica o tecnológica completa","Educación profesional completa","No sabe","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","UNICA",56,65,53,44,47,270
"M","SB11202040028334","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",60,64,55,61,47,295
"M","SB11202040110269","No","SANTANDER",68,"Estrato 3","Postgrado","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","NO OFICIAL","N","COMPLETA",71,75,74,72,68,363
"F","SB11202040012931","No","ATLANTICO",8,"Estrato 2","Educación profesional incompleta","Técnica o tecnológica incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL","N","MAÑANA",62,51,42,43,53,249
"M","SB11202040572907",NA,"SANTANDER",68,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL",NA,"SABATINA",55,48,45,44,55,243
"F","SB11202040500673","No","CALDAS",17,"Estrato 1","Primaria incompleta","Primaria incompleta","No sabe","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","SABATINA",61,53,45,54,33,258
"F","SB11202040261355","No","VALLE",76,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) incompleta","Trabaja en el hogar, no trabaja o estudia","Es agricultor, pesquero o jornalero","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","MAÑANA",55,40,43,37,31,214
"F","SB11202040043737","No","VALLE",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","UNICA",64,61,65,63,46,310
"M","SB11202040270045","No","BOGOTÁ",11,"Estrato 1","No sabe","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","SABATINA",46,48,40,40,50,220
"F","SB11202040035520","No","BOGOTÁ",11,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL",NA,"MAÑANA",65,67,59,60,66,315
"F","SB11202040505110","No","MAGDALENA",47,"Estrato 1","Primaria incompleta","Primaria incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",52,30,44,40,34,205
"M","SB11202040306704","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Más de 30 horas","OFICIAL","N","COMPLETA",37,29,30,33,34,162
"F","SB11202040101497","No","RISARALDA",66,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","No sabe","No sabe","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",34,43,41,40,44,199
"F","SB11202040391117","No","BOYACA",15,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","No Navega Internet","0","OFICIAL","N","COMPLETA",50,51,51,43,45,242
"F","SB11202040493309","No","CUNDINAMARCA",25,"Estrato 1","Secundaria (Bachillerato) incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","NO OFICIAL",NA,"SABATINA",49,47,40,46,44,227
"F","SB11202040406355","Si","CHOCO",27,"Estrato 6","Educación profesional completa","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","Menos de 10 horas","OFICIAL","N","UNICA",44,36,44,33,57,203
"F","SB11202040386630","No","BOLIVAR",13,"Estrato 1","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",50,52,47,49,36,242
"F","SB11202040256403","No","HUILA",41,"Estrato 2","Secundaria (Bachillerato) completa","Educación profesional incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",36,39,35,34,36,180
"F","SB11202040001998","No","NORTE SANTANDER",54,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","26 A 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","COMPLETA",64,72,100,67,61,373
"F","SB11202040046184","No","VALLE",76,"Estrato 3","Educación profesional completa","Secundaria (Bachillerato) completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","MAÑANA",61,60,54,56,45,284
"M","SB11202040511213","No","ATLANTICO",8,"Estrato 3","Educación profesional completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",53,55,50,49,60,262
"F","SB11202040297018","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","COMPLETA",58,56,44,57,38,263
"F","SB11202040435175","No","VALLE",76,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","UNICA",43,35,36,30,36,180
"F","SB11202040484561","No","BOYACA",15,"Estrato 2","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos",NA,"OFICIAL","N","NOCHE",32,35,35,34,36,171
"M","SB11202040297894","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",41,64,58,60,45,275
"M","SB11202040062809","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",51,44,52,36,51,231
"F","SB11202040278487","No","NARIÑO",52,"Estrato 2","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",53,58,45,54,49,261
"F","SB11202040165932","No","CORDOBA",23,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",54,46,37,51,38,232
